 lyrNum , LyrType,      Fr,      Fc,     Grp,   strdX,   strdY,multiCoreMode,    Pool,  pooKer, pooStrd,enableBias,      Ni,      No,     InW,     InH,    outW,    outH,procTime(us),LayerCycles,kernelOnlyCycles,coreLoopCycles,LayerSetupCycles,dmaPipeupCycles,   IOcyles,inVol(KB),outVol(KB),wtVol(KB), srcMem-IN, dstMem-IN,srcMem-OUT,dstMem-OUT, srcMem-WT, dstMem-WT,MSMCBW-R(M),MSMCBW-W(M),DDRBW-R(M),DDRBW-W(M),dataFlow,utilization,
      92,TIDL_ConvolutionLayer,       3,       3,     256,       1,       1,       0,       0,       0,       1,         1,     256,     256,       1,       1,       1,       1,   43.95,43946.74,  435.63,  485.63, 3600.00,39861.11,    0.00,  0.25,  0.25,  1.50,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.08,    0.28,    0.00,    0.00,       2,    0.04,
      94,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,      16,       1,       1,       1,       1,   14.55,14552.44, 1408.00, 1458.00, 7100.00, 5994.44,    0.00,  0.25,  0.12,  8.12,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.08,    0.02,    0.00,    0.00,       1,    0.05,
      93,TIDL_ConvolutionLayer,       3,       3,     256,       1,       1,       0,       0,       0,       1,         1,     256,     256,       1,       1,       1,       1,   43.95,43946.74,  435.63,  485.63, 3600.00,39861.11,    0.00,  0.25,  0.25,  1.50,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.08,    0.28,    0.00,    0.00,       2,    0.04,
      95,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,      56,       1,       1,       1,       1,   23.43,23434.44, 4290.00, 4340.00, 7100.00,11994.44,    0.00,  0.25,  0.12, 28.50,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.08,    0.06,    0.00,    0.00,       1,    0.12,
      87,TIDL_ConvolutionLayer,       3,       3,     256,       1,       1,       0,       0,       0,       1,         1,     256,     256,       2,       2,       2,       2,   44.22,44216.22,  705.11,  755.11, 3600.00,39861.11,    0.00,  1.00,  1.00,  1.50,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.08,    0.28,    0.00,    0.00,       2,    0.14,
      90,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,      24,       2,       2,       2,       2,   16.71,16712.74, 2368.30, 2418.30, 7100.00, 7194.44,    0.00,  1.00,  0.25, 12.25,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.08,    0.03,    0.00,    0.00,       1,    0.28,
      88,TIDL_ConvolutionLayer,       3,       3,     256,       1,       1,       0,       0,       0,       1,         1,     256,     256,       2,       2,       2,       2,   44.22,44216.22,  705.11,  755.11, 3600.00,39861.11,    0.00,  1.00,  1.00,  1.50,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.08,    0.28,    0.00,    0.00,       2,    0.14,
      91,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,      84,       2,       2,       2,       2,   29.56,29556.14, 6211.70, 6261.70, 7100.00,16194.44,    0.00,  1.00,  0.75, 42.75,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.08,    0.10,    0.00,    0.00,       1,    0.58,
      82,TIDL_ConvolutionLayer,       3,       3,     256,       1,       1,       0,       0,       0,       1,         1,     256,     256,       4,       4,       4,       4,   43.05,43048.50, 1244.05, 1294.05, 3600.00,38154.44,    0.00,  4.00,  4.00,  1.50,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.03,    0.28,    0.00,    0.00,       2,    0.51,
      85,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,      84,       4,       4,       4,       4,   27.85,27849.48, 6211.70, 6261.70, 7100.00,14487.78,    0.00,  4.00,  2.62, 42.75,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.03,    0.10,    0.00,    0.00,       1,    2.27,
      76,TIDL_ConvolutionLayer,       3,       3,     512,       1,       1,       0,       0,       0,       1,         1,     512,     512,       8,       8,       8,       8,   82.55,82548.85, 4477.74, 4527.74, 3600.00,74421.11,    0.00, 32.00, 32.00,  3.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.03,    0.56,    0.00,    0.00,       2,    2.80,
      79,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     512,      84,       8,       8,       8,       8,   72.87,72873.48,45635.70,45685.70, 7100.00,20087.78,    0.00, 32.00, 10.50, 84.75,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.03,    0.15,    0.00,    0.00,       1,    8.89,
      70,TIDL_ConvolutionLayer,       3,       3,     320,       1,       1,       0,       0,       0,       1,         1,     320,     320,      16,      16,      16,      16,   58.13,58133.41, 5555.63, 5605.63, 3600.00,48927.78,    0.00, 80.00, 80.00,  1.88,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.08,    0.35,    0.00,    0.00,       2,    6.37,
      73,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     320,      84,      16,      16,      16,      16,  137.83,137832.74,113799.40,113849.40, 7100.00,16883.33, 1814.44, 80.00, 42.00, 53.25,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.10,    0.15,    0.00,    0.00,       1,   14.66,
      96,TIDL_DetectionOutputLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,      16,       1,      32,      32,    1405,       1, 2006.00,2006000.00,    0.00,2000000.00,    0.00,    0.00,2000000.00, 32.00,  5.50,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.03,    0.01,    0.00,    0.00,       2,    0.00,
