Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 88, TIDL_ConvolutionLayer, 256, 2, 2, 256, 2, 2, 1,  COL, 0, 0, 4, 4, 1, 1, 1,,,,,,,,, L2, DMA, 4, 4, 256, 1152, 0, 0, ,,,,,,,, MSMC, CPU, 4, 4, 256, 1024, 0, 44300, ,,,,,,,, MSMC, DMA, 9, 9, 768, 8448, 0, 44700, ,,,,,,,, 
 91, TIDL_ConvolutionLayer, 256, 2, 2, 84, 2, 2, 256, ROW_L, 0, 0, 8, 8, 1, 1, 1,,,,,,,,, L2, DMA, 8, 8, 256, 2176, 0, 0, ,,,,,,,, MSMC, CPU, 8, 8, 84, 768, 0, 43f00, ,,,,,,,, MSMC, DMA, 576, 512, 84, 49152, 0, 44700, ,,,,,,,, 
 82, TIDL_ConvolutionLayer, 256, 4, 4, 256, 4, 4, 1,  COL, 0, 0, 16, 16, 1, 1, 1,,,,,,,,, L2, DMA, 16, 16, 256, 4224, 0, 0, ,,,,,,,, MSMC, CPU, 16, 16, 256, 4096, 0, 44200, ,,,,,,,, MSMC, DMA, 9, 9, 768, 8448, 0, 45200, ,,,,,,,, 
 85, TIDL_ConvolutionLayer, 256, 4, 4, 84, 4, 4, 256, ROW_L, 0, 0, 32, 32, 1, 1, 1,,,,,,,,, L2, DMA, 32, 32, 256, 8320, 0, 0, ,,,,,,,, MSMC, CPU, 32, 32, 84, 2688, 0, 42a00, ,,,,,,,, MSMC, DMA, 576, 512, 84, 49152, 0, 45200, ,,,,,,,, 
 76, TIDL_ConvolutionLayer, 512, 8, 8, 512, 8, 8, 1,  COL, 0, 0, 64, 64, 1, 1, 1,,,,,,,,, L2, DMA, 64, 64, 512, 32896, 0, 0, ,,,,,,,, MSMC, CPU, 64, 64, 512, 32768, 0, 44200, ,,,,,,,, MSMC, DMA, 9, 9, 1536, 16896, 0, 4c200, ,,,,,,,, 
 79, TIDL_ConvolutionLayer, 512, 8, 8, 84, 8, 8, 512, ROW_L, 0, 0, 128, 128, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 512, 98432, 0, 0, ,,,,,,,, MSMC, CPU, 192, 128, 84, 16128, 0, 62a00, ,,,,,,,, MSMC, DMA, 1088, 1024, 84, 92160, 0, 4c200, ,,,,,,,, 
 70, TIDL_ConvolutionLayer, 320, 16, 16, 320, 16, 16, 1,  COL, 0, 0, 256, 256, 1, 1, 1,,,,,,,,, L2, DMA, 256, 256, 320, 82048, 0, 0, ,,,,,,,, MSMC, CPU, 320, 256, 320, 102400, 0, 25200, ,,,,,,,, MSMC, DMA, 9, 9, 960, 10624, 0, 44200, ,,,,,,,, 
 73, TIDL_ConvolutionLayer, 320, 16, 16, 84, 16, 16, 320, ROW_L, 0, 0, 352, 512, 2, 1, 2,,,,,,,,, L2, DMA, 704, 704, 320, 225408, 0, 0, ,,,,,,,, MSMC, CPU, 576, 512, 84, 48384, 0, 52c00, ,,,,,,,, MSMC, DMA, 704, 640, 84, 59904, 0, 44200, ,,,,,,,, 
 96, TIDL_DetectionOutputLayer, 16, 32, 32, 1, 1405, 1, 16,  COL, 0, 0, 2048, 2048, 8, 0, 8,,,,,,,,, L2, DMA, 2112, 2112, 4, 8448, 0, 0, L2, CPU, 0, 2810, 4, 0, 0, 0, MSMC, CPU, 5696, 5620, 1, 5760, 0, 25200, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 97, TIDL_OdOutputReformatLayer, 1, 1405, 1, 1, 5, 200, 1,  COL, 0, 0, 2810, 2810, 1, 0, 1,,,,,,,,, L2, DMA, 2810, 2810, 1, 2816, 0, 0, MSMC, CPU, 2000, 2000, 2, 4096, 0, 0, DDR, DMA, 4000, 4000, 1, 5120, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 99, TIDL_DataLayer, 1, 5, 200, 0, 0, 0, 1, FRAME, 0, 0, 1000, 1000, 1, 0, 1,,,,,,,,, L2, DMA, 0, 1000, 1, 0, 0, 0, ,,,,,,,, DDR, CPU, 262144, 0, 0, 787456, 0, 0, ,,,,,,,, MSMC, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 98, TIDL_OdOutputReformatLayer, 1, 1405, 1, 1, 200, 1, 1,  COL, 0, 0, 2810, 2810, 1, 0, 1,,,,,,,,, L2, DMA, 2810, 2810, 1, 2816, 0, 0, MSMC, CPU, 400, 400, 2, 896, 0, 0, DDR, DMA, 800, 800, 1, 1920, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 100, TIDL_DataLayer, 1, 200, 1, 0, 0, 0, 1, FRAME, 0, 0, 200, 200, 1, 0, 1,,,,,,,,, L2, DMA, 0, 200, 1, 0, 0, 0, ,,,,,,,, DDR, CPU, 262144, 0, 0, 787456, 0, 0, ,,,,,,,, MSMC, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
